==2742== NVPROF is profiling process 2742, command: ./matrixMul
==2742== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==2742== Profiling application: ./matrixMul
==2742== Profiling result:
Time(%)      Time     Calls       Avg       Min       Max  Name
 94.78%  2.66226s         1  2.66226s  2.66226s  2.66226s  void matrixMulCUDA<int=32>(float*, float*, float*, int, int)
  3.29%  92.332ms         1  92.332ms  92.332ms  92.332ms  [CUDA memcpy DtoH]
  1.93%  54.151ms         2  27.075ms  17.974ms  36.176ms  [CUDA memcpy HtoD]

==2742== API calls:
Time(%)      Time     Calls       Avg       Min       Max  Name
 89.40%  2.66228s         1  2.66228s  2.66228s  2.66228s  cudaEventSynchronize
  5.55%  165.17ms         3  55.056ms  518.91us  164.12ms  cudaMalloc
  5.04%  149.96ms         3  49.986ms  19.650ms  93.701ms  cudaMemcpy
  0.00%  146.20us         3  48.732us  25.365us  94.167us  cudaFree
  0.00%  96.302us         1  96.302us  96.302us  96.302us  cudaLaunch
  0.00%  79.378us        91     872ns     416ns  15.052us  cuDeviceGetAttribute
  0.00%  65.261us         2  32.630us  25.261us  40.000us  cudaEventRecord
  0.00%  28.490us         2  14.245us  3.6980us  24.792us  cudaEventCreate
  0.00%  26.718us         1  26.718us  26.718us  26.718us  cudaGetDeviceProperties
  0.00%  24.375us         1  24.375us  24.375us  24.375us  cudaGetDevice
  0.00%  13.386us         1  13.386us  13.386us  13.386us  cudaEventElapsedTime
  0.00%  6.3540us         3  2.1180us     833ns  4.6350us  cuDeviceGetCount
  0.00%  4.9480us         1  4.9480us  4.9480us  4.9480us  cuDeviceTotalMem
  0.00%  4.8950us         1  4.8950us  4.8950us  4.8950us  cudaConfigureCall
  0.00%  4.6360us         5     927ns     573ns  1.5630us  cudaSetupArgument
  0.00%  1.8750us         3     625ns     521ns     729ns  cuDeviceGet
  0.00%     938ns         1     938ns     938ns     938ns  cuDeviceGetName
