==2700== NVPROF is profiling process 2700, command: ./matrixMul
==2700== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==2700== Profiling application: ./matrixMul
==2700== Profiling result:
Time(%)      Time     Calls       Avg       Min       Max  Name
 94.84%  2.66475s         1  2.66475s  2.66475s  2.66475s  void matrixMulCUDA<int=32>(float*, float*, float*, int, int)
  3.23%  90.891ms         1  90.891ms  90.891ms  90.891ms  [CUDA memcpy DtoH]
  1.92%  53.998ms         2  26.999ms  17.965ms  36.033ms  [CUDA memcpy HtoD]

==2700== API calls:
Time(%)      Time     Calls       Avg       Min       Max  Name
 89.58%  2.66480s         1  2.66480s  2.66480s  2.66480s  cudaEventSynchronize
  5.41%  160.94ms         3  53.646ms  475.26us  159.91ms  cudaMalloc
  4.99%  148.47ms         3  49.491ms  19.685ms  92.327ms  cudaMemcpy
  0.01%  177.14us         1  177.14us  177.14us  177.14us  cudaLaunch
  0.00%  146.15us         3  48.715us  24.792us  94.166us  cudaFree
  0.00%  78.438us        91     861ns     416ns  15.417us  cuDeviceGetAttribute
  0.00%  66.562us         2  33.281us  25.625us  40.937us  cudaEventRecord
  0.00%  28.489us         2  14.244us  3.5930us  24.896us  cudaEventCreate
  0.00%  26.718us         1  26.718us  26.718us  26.718us  cudaGetDeviceProperties
  0.00%  24.167us         1  24.167us  24.167us  24.167us  cudaGetDevice
  0.00%  13.854us         1  13.854us  13.854us  13.854us  cudaEventElapsedTime
  0.00%  6.7690us         3  2.2560us     729ns  4.8950us  cuDeviceGetCount
  0.00%  5.1050us         5  1.0210us     625ns  1.7190us  cudaSetupArgument
  0.00%  5.0520us         1  5.0520us  5.0520us  5.0520us  cudaConfigureCall
  0.00%  4.5830us         1  4.5830us  4.5830us  4.5830us  cuDeviceTotalMem
  0.00%  2.7600us         3     920ns     677ns  1.4060us  cuDeviceGet
  0.00%  1.5620us         1  1.5620us  1.5620us  1.5620us  cuDeviceGetName
