==2721== NVPROF is profiling process 2721, command: ./matrixMul
==2721== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==2721== Profiling application: ./matrixMul
==2721== Profiling result:
Time(%)      Time     Calls       Avg       Min       Max  Name
 94.88%  2.66388s         1  2.66388s  2.66388s  2.66388s  void matrixMulCUDA<int=32>(float*, float*, float*, int, int)
  3.19%  89.668ms         1  89.668ms  89.668ms  89.668ms  [CUDA memcpy DtoH]
  1.93%  54.054ms         2  27.027ms  17.859ms  36.196ms  [CUDA memcpy HtoD]

==2721== API calls:
Time(%)      Time     Calls       Avg       Min       Max  Name
 88.96%  2.66394s         1  2.66394s  2.66394s  2.66394s  cudaEventSynchronize
  6.11%  183.07ms         3  61.023ms  504.84us  182.03ms  cudaMalloc
  4.91%  147.16ms         3  49.054ms  19.537ms  90.988ms  cudaMemcpy
  0.00%  143.54us         3  47.847us  25.000us  92.083us  cudaFree
  0.00%  92.396us         1  92.396us  92.396us  92.396us  cudaLaunch
  0.00%  78.335us        91     860ns     416ns  15.886us  cuDeviceGetAttribute
  0.00%  64.792us         2  32.396us  24.271us  40.521us  cudaEventRecord
  0.00%  32.552us         2  16.276us  3.7500us  28.802us  cudaEventCreate
  0.00%  27.604us         1  27.604us  27.604us  27.604us  cudaGetDeviceProperties
  0.00%  26.094us         1  26.094us  26.094us  26.094us  cudaGetDevice
  0.00%  12.709us         1  12.709us  12.709us  12.709us  cudaEventElapsedTime
  0.00%  6.7180us         3  2.2390us     781ns  4.8430us  cuDeviceGetCount
  0.00%  5.1560us         1  5.1560us  5.1560us  5.1560us  cudaConfigureCall
  0.00%  5.1040us         5  1.0200us     573ns  1.9270us  cudaSetupArgument
  0.00%  4.2700us         1  4.2700us  4.2700us  4.2700us  cuDeviceTotalMem
  0.00%  2.0310us         3     677ns     625ns     729ns  cuDeviceGet
  0.00%  1.1460us         1  1.1460us  1.1460us  1.1460us  cuDeviceGetName
