==2658== NVPROF is profiling process 2658, command: ./matrixMul
==2658== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==2658== Profiling application: ./matrixMul
==2658== Profiling result:
Time(%)      Time     Calls       Avg       Min       Max  Name
 94.83%  2.66523s         1  2.66523s  2.66523s  2.66523s  void matrixMulCUDA<int=32>(float*, float*, float*, int, int)
  3.25%  91.219ms         1  91.219ms  91.219ms  91.219ms  [CUDA memcpy DtoH]
  1.92%  53.991ms         2  26.996ms  17.927ms  36.064ms  [CUDA memcpy HtoD]

==2658== API calls:
Time(%)      Time     Calls       Avg       Min       Max  Name
 89.08%  2.66522s         1  2.66522s  2.66522s  2.66522s  cudaEventSynchronize
  5.93%  177.37ms         3  59.122ms  484.58us  176.38ms  cudaMalloc
  4.97%  148.72ms         3  49.573ms  19.653ms  92.567ms  cudaMemcpy
  0.01%  155.57us         3  51.857us  27.500us  98.854us  cudaFree
  0.00%  93.281us         1  93.281us  93.281us  93.281us  cudaLaunch
  0.00%  77.084us        91     847ns     416ns  14.375us  cuDeviceGetAttribute
  0.00%  61.875us         2  30.937us  23.281us  38.594us  cudaEventRecord
  0.00%  28.281us         1  28.281us  28.281us  28.281us  cudaGetDeviceProperties
  0.00%  27.918us         2  13.959us  3.3860us  24.532us  cudaEventCreate
  0.00%  24.687us         1  24.687us  24.687us  24.687us  cudaGetDevice
  0.00%  12.552us         1  12.552us  12.552us  12.552us  cudaEventElapsedTime
  0.00%  6.5110us         3  2.1700us     729ns  4.6880us  cuDeviceGetCount
  0.00%  4.8960us         1  4.8960us  4.8960us  4.8960us  cudaConfigureCall
  0.00%  4.5320us         1  4.5320us  4.5320us  4.5320us  cuDeviceTotalMem
  0.00%  4.3220us         5     864ns     521ns  1.4580us  cudaSetupArgument
  0.00%  2.2920us         3     764ns     729ns     782ns  cuDeviceGet
  0.00%  1.6670us         1  1.6670us  1.6670us  1.6670us  cuDeviceGetName
