==2805== NVPROF is profiling process 2805, command: ./matrixMul
==2805== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==2805== Profiling application: ./matrixMul
==2805== Profiling result:
Time(%)      Time     Calls       Avg       Min       Max  Name
 94.85%  2.66070s         1  2.66070s  2.66070s  2.66070s  void matrixMulCUDA<int=32>(float*, float*, float*, int, int)
  3.23%  90.573ms         1  90.573ms  90.573ms  90.573ms  [CUDA memcpy DtoH]
  1.92%  53.965ms         2  26.983ms  18.035ms  35.931ms  [CUDA memcpy HtoD]

==2805== API calls:
Time(%)      Time     Calls       Avg       Min       Max  Name
 89.49%  2.66068s         1  2.66068s  2.66068s  2.66068s  cudaEventSynchronize
  5.51%  163.78ms         3  54.594ms  480.42us  162.76ms  cudaMalloc
  4.98%  148.07ms         3  49.357ms  19.791ms  91.920ms  cudaMemcpy
  0.00%  148.33us         3  49.444us  24.896us  96.042us  cudaFree
  0.00%  93.490us         1  93.490us  93.490us  93.490us  cudaLaunch
  0.00%  77.397us        91     850ns     364ns  15.260us  cuDeviceGetAttribute
  0.00%  64.010us         2  32.005us  25.312us  38.698us  cudaEventRecord
  0.00%  28.074us         2  14.037us  3.4380us  24.636us  cudaEventCreate
  0.00%  25.260us         1  25.260us  25.260us  25.260us  cudaGetDevice
  0.00%  25.209us         1  25.209us  25.209us  25.209us  cudaGetDeviceProperties
  0.00%  12.969us         1  12.969us  12.969us  12.969us  cudaEventElapsedTime
  0.00%  6.2510us         3  2.0830us     886ns  4.3750us  cuDeviceGetCount
  0.00%  5.4680us         1  5.4680us  5.4680us  5.4680us  cudaConfigureCall
  0.00%  4.9480us         5     989ns     573ns  1.8230us  cudaSetupArgument
  0.00%  4.7920us         1  4.7920us  4.7920us  4.7920us  cuDeviceTotalMem
  0.00%  2.1890us         3     729ns     521ns     990ns  cuDeviceGet
  0.00%  1.5630us         1  1.5630us  1.5630us  1.5630us  cuDeviceGetName
