==2868== NVPROF is profiling process 2868, command: ./matrixMul
==2868== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==2868== Profiling application: ./matrixMul
==2868== Profiling result:
Time(%)      Time     Calls       Avg       Min       Max  Name
 94.82%  2.66219s         1  2.66219s  2.66219s  2.66219s  void matrixMulCUDA<int=32>(float*, float*, float*, int, int)
  3.25%  91.272ms         1  91.272ms  91.272ms  91.272ms  [CUDA memcpy DtoH]
  1.93%  54.050ms         2  27.025ms  17.945ms  36.105ms  [CUDA memcpy HtoD]

==2868== API calls:
Time(%)      Time     Calls       Avg       Min       Max  Name
 89.33%  2.66223s         1  2.66223s  2.66223s  2.66223s  cudaEventSynchronize
  5.66%  168.63ms         3  56.209ms  524.32us  167.57ms  cudaMalloc
  4.99%  148.79ms         3  49.598ms  19.633ms  92.625ms  cudaMemcpy
  0.01%  149.12us         3  49.705us  25.573us  96.198us  cudaFree
  0.00%  96.823us         1  96.823us  96.823us  96.823us  cudaLaunch
  0.00%  81.970us        91     900ns     468ns  15.261us  cuDeviceGetAttribute
  0.00%  63.854us         2  31.927us  24.792us  39.062us  cudaEventRecord
  0.00%  27.292us         2  13.646us  3.5420us  23.750us  cudaEventCreate
  0.00%  25.573us         1  25.573us  25.573us  25.573us  cudaGetDeviceProperties
  0.00%  23.698us         1  23.698us  23.698us  23.698us  cudaGetDevice
  0.00%  14.479us         1  14.479us  14.479us  14.479us  cudaEventElapsedTime
  0.00%  6.7710us         3  2.2570us     885ns  4.7920us  cuDeviceGetCount
  0.00%  5.3650us         1  5.3650us  5.3650us  5.3650us  cuDeviceTotalMem
  0.00%  5.0000us         1  5.0000us  5.0000us  5.0000us  cudaConfigureCall
  0.00%  4.7920us         5     958ns     573ns  1.6670us  cudaSetupArgument
  0.00%  2.4470us         3     815ns     573ns     989ns  cuDeviceGet
  0.00%  1.2500us         1  1.2500us  1.2500us  1.2500us  cuDeviceGetName
