==2847== NVPROF is profiling process 2847, command: ./matrixMul
==2847== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==2847== Profiling application: ./matrixMul
==2847== Profiling result:
Time(%)      Time     Calls       Avg       Min       Max  Name
 94.78%  2.66434s         1  2.66434s  2.66434s  2.66434s  void matrixMulCUDA<int=32>(float*, float*, float*, int, int)
  3.29%  92.569ms         1  92.569ms  92.569ms  92.569ms  [CUDA memcpy DtoH]
  1.93%  54.219ms         2  27.109ms  17.954ms  36.264ms  [CUDA memcpy HtoD]

==2847== API calls:
Time(%)      Time     Calls       Avg       Min       Max  Name
 89.48%  2.66439s         1  2.66439s  2.66439s  2.66439s  cudaEventSynchronize
  5.46%  162.49ms         3  54.163ms  513.85us  161.44ms  cudaMalloc
  5.05%  150.34ms         3  50.113ms  19.636ms  94.003ms  cudaMemcpy
  0.00%  145.73us         3  48.576us  25.937us  92.448us  cudaFree
  0.00%  93.907us         1  93.907us  93.907us  93.907us  cudaLaunch
  0.00%  82.027us        91     901ns     416ns  17.136us  cuDeviceGetAttribute
  0.00%  61.667us         2  30.833us  22.865us  38.802us  cudaEventRecord
  0.00%  27.552us         2  13.776us  3.3850us  24.167us  cudaEventCreate
  0.00%  25.937us         1  25.937us  25.937us  25.937us  cudaGetDevice
  0.00%  24.896us         1  24.896us  24.896us  24.896us  cudaGetDeviceProperties
  0.00%  13.385us         1  13.385us  13.385us  13.385us  cudaEventElapsedTime
  0.00%  6.4580us         3  2.1520us     833ns  4.6360us  cuDeviceGetCount
  0.00%  5.1050us         5  1.0210us     573ns  1.8750us  cudaSetupArgument
  0.00%  4.8430us         1  4.8430us  4.8430us  4.8430us  cudaConfigureCall
  0.00%  4.2710us         1  4.2710us  4.2710us  4.2710us  cuDeviceTotalMem
  0.00%  2.0830us         3     694ns     625ns     781ns  cuDeviceGet
  0.00%  1.4060us         1  1.4060us  1.4060us  1.4060us  cuDeviceGetName
