==2548== NVPROF is profiling process 2548, command: ./matrixMul
==2548== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==2548== Profiling application: ./matrixMul
==2548== Profiling result:
Time(%)      Time     Calls       Avg       Min       Max  Name
 94.83%  2.66560s         1  2.66560s  2.66560s  2.66560s  void matrixMulCUDA<int=32>(float*, float*, float*, int, int)
  3.24%  91.074ms         1  91.074ms  91.074ms  91.074ms  [CUDA memcpy DtoH]
  1.93%  54.362ms         2  27.181ms  17.985ms  36.376ms  [CUDA memcpy HtoD]

==2548== API calls:
Time(%)      Time     Calls       Avg       Min       Max  Name
 88.44%  2.66561s         1  2.66561s  2.66561s  2.66561s  cudaEventSynchronize
  6.60%  199.03ms         3  66.343ms  469.11us  198.00ms  cudaMalloc
  4.94%  148.93ms         3  49.642ms  19.645ms  92.471ms  cudaMemcpy
  0.01%  152.97us         3  50.989us  28.073us  94.114us  cudaFree
  0.00%  96.250us         1  96.250us  96.250us  96.250us  cudaLaunch
  0.00%  81.714us        91     897ns     416ns  15.625us  cuDeviceGetAttribute
  0.00%  65.989us         2  32.994us  23.698us  42.291us  cudaEventRecord
  0.00%  33.385us         2  16.692us  4.3230us  29.062us  cudaEventCreate
  0.00%  28.333us         1  28.333us  28.333us  28.333us  cudaGetDeviceProperties
  0.00%  25.312us         1  25.312us  25.312us  25.312us  cudaGetDevice
  0.00%  15.833us         1  15.833us  15.833us  15.833us  cudaEventElapsedTime
  0.00%  6.0940us         3  2.0310us     781ns  4.3750us  cuDeviceGetCount
  0.00%  5.9900us         5  1.1980us     729ns  1.8750us  cudaSetupArgument
  0.00%  5.2600us         1  5.2600us  5.2600us  5.2600us  cuDeviceTotalMem
  0.00%  5.2080us         1  5.2080us  5.2080us  5.2080us  cudaConfigureCall
  0.00%  2.4470us         3     815ns     520ns  1.2500us  cuDeviceGet
  0.00%  1.7710us         1  1.7710us  1.7710us  1.7710us  cuDeviceGetName
