==2527== NVPROF is profiling process 2527, command: ./matrixMul
==2527== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==2527== Profiling application: ./matrixMul
==2527== Profiling result:
Time(%)      Time     Calls       Avg       Min       Max  Name
 94.87%  2.66645s         1  2.66645s  2.66645s  2.66645s  void matrixMulCUDA<int=32>(float*, float*, float*, int, int)
  3.20%  89.993ms         1  89.993ms  89.993ms  89.993ms  [CUDA memcpy DtoH]
  1.93%  54.121ms         2  27.060ms  17.995ms  36.126ms  [CUDA memcpy HtoD]

==2527== API calls:
Time(%)      Time     Calls       Avg       Min       Max  Name
 87.48%  2.66643s         1  2.66643s  2.66643s  2.66643s  cudaEventSynchronize
  7.66%  233.43ms         3  77.812ms  15.028ms  198.70ms  cudaMalloc
  4.84%  147.46ms         3  49.154ms  19.565ms  91.327ms  cudaMemcpy
  0.01%  154.69us         3  51.562us  28.281us  95.156us  cudaFree
  0.00%  104.27us         1  104.27us  104.27us  104.27us  cudaLaunch
  0.00%  81.930us        91     900ns     416ns  17.917us  cuDeviceGetAttribute
  0.00%  69.688us         2  34.844us  23.386us  46.302us  cudaEventRecord
  0.00%  35.834us         2  17.917us  4.2710us  31.563us  cudaEventCreate
  0.00%  32.605us         1  32.605us  32.605us  32.605us  cudaGetDevice
  0.00%  32.292us         1  32.292us  32.292us  32.292us  cudaGetDeviceProperties
  0.00%  13.386us         1  13.386us  13.386us  13.386us  cudaEventElapsedTime
  0.00%  7.6040us         1  7.6040us  7.6040us  7.6040us  cudaConfigureCall
  0.00%  7.2390us         3  2.4130us     781ns  5.2080us  cuDeviceGetCount
  0.00%  6.1460us         5  1.2290us     833ns  1.9790us  cudaSetupArgument
  0.00%  5.4170us         1  5.4170us  5.4170us  5.4170us  cuDeviceTotalMem
  0.00%  2.5000us         3     833ns     573ns  1.0420us  cuDeviceGet
  0.00%  1.7190us         1  1.7190us  1.7190us  1.7190us  cuDeviceGetName
