==2889== NVPROF is profiling process 2889, command: ./matrixMul
==2889== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==2889== Profiling application: ./matrixMul
==2889== Profiling result:
==2889== API calls:
Time(%)      Time     Calls       Avg       Min       Max  Name
 89.50%  2.66269s         1  2.66269s  2.66269s  2.66269s  cudaEventSynchronize
  5.49%  163.19ms         3  54.398ms  511.51us  162.16ms  cudaMalloc
  4.99%  148.57ms         3  49.524ms  19.689ms  92.164ms  cudaMemcpy
  0.00%  146.93us         3  48.975us  25.312us  94.896us  cudaFree
  0.00%  95.625us         1  95.625us  95.625us  95.625us  cudaLaunch
  0.00%  86.612us        91     951ns     417ns  18.802us  cuDeviceGetAttribute
  0.00%  65.208us         2  32.604us  24.583us  40.625us  cudaEventRecord
  0.00%  30.260us         1  30.260us  30.260us  30.260us  cudaGetDeviceProperties
  0.00%  29.271us         2  14.635us  3.9070us  25.364us  cudaEventCreate
  0.00%  27.032us         1  27.032us  27.032us  27.032us  cudaGetDevice
  0.00%  12.396us         1  12.396us  12.396us  12.396us  cudaEventElapsedTime
  0.00%  6.6660us         3  2.2220us     781ns  4.8430us  cuDeviceGetCount
  0.00%  5.0520us         1  5.0520us  5.0520us  5.0520us  cudaConfigureCall
  0.00%  4.9480us         5     989ns     573ns  1.7710us  cudaSetupArgument
  0.00%  4.8960us         1  4.8960us  4.8960us  4.8960us  cuDeviceTotalMem
  0.00%  2.2910us         3     763ns     677ns     885ns  cuDeviceGet
  0.00%  1.3540us         1  1.3540us  1.3540us  1.3540us  cuDeviceGetName
