==2910== NVPROF is profiling process 2910, command: ./matrixMul
==2910== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==2910== Profiling application: ./matrixMul
==2910== Profiling result:
   Start  Duration  Name
27.752ms  4.7400us  cuDeviceGetCount
27.758ms     833ns  cuDeviceGetCount
27.759ms     886ns  cuDeviceGet
27.761ms     938ns  cuDeviceGetAttribute
27.782ms     729ns  cuDeviceGet
27.783ms     625ns  cuDeviceGetAttribute
27.792ms     625ns  cuDeviceGetAttribute
27.794ms     521ns  cuDeviceGetAttribute
28.099ms  1.1460us  cuDeviceGetCount
28.101ms     573ns  cuDeviceGet
28.106ms  1.3020us  cuDeviceGetName
28.109ms  5.0000us  cuDeviceTotalMem
28.114ms     521ns  cuDeviceGetAttribute
28.115ms     416ns  cuDeviceGetAttribute
28.116ms     469ns  cuDeviceGetAttribute
28.117ms     521ns  cuDeviceGetAttribute
28.118ms     469ns  cuDeviceGetAttribute
28.119ms     625ns  cuDeviceGetAttribute
28.120ms     417ns  cuDeviceGetAttribute
28.121ms     417ns  cuDeviceGetAttribute
28.121ms     468ns  cuDeviceGetAttribute
28.122ms     469ns  cuDeviceGetAttribute
28.123ms     469ns  cuDeviceGetAttribute
28.124ms     469ns  cuDeviceGetAttribute
28.125ms     469ns  cuDeviceGetAttribute
28.126ms     416ns  cuDeviceGetAttribute
28.127ms     469ns  cuDeviceGetAttribute
28.128ms     469ns  cuDeviceGetAttribute
28.128ms     416ns  cuDeviceGetAttribute
28.129ms     417ns  cuDeviceGetAttribute
28.130ms     625ns  cuDeviceGetAttribute
28.131ms     417ns  cuDeviceGetAttribute
28.132ms     417ns  cuDeviceGetAttribute
28.133ms     468ns  cuDeviceGetAttribute
28.134ms     417ns  cuDeviceGetAttribute
28.135ms     469ns  cuDeviceGetAttribute
28.135ms     417ns  cuDeviceGetAttribute
28.136ms     521ns  cuDeviceGetAttribute
28.137ms     468ns  cuDeviceGetAttribute
28.138ms     417ns  cuDeviceGetAttribute
28.139ms     469ns  cuDeviceGetAttribute
28.140ms     417ns  cuDeviceGetAttribute
28.141ms     469ns  cuDeviceGetAttribute
28.142ms     416ns  cuDeviceGetAttribute
28.142ms     417ns  cuDeviceGetAttribute
28.143ms     469ns  cuDeviceGetAttribute
28.144ms     416ns  cuDeviceGetAttribute
28.145ms     417ns  cuDeviceGetAttribute
28.146ms     417ns  cuDeviceGetAttribute
28.147ms     416ns  cuDeviceGetAttribute
28.147ms     469ns  cuDeviceGetAttribute
28.148ms     416ns  cuDeviceGetAttribute
28.149ms     417ns  cuDeviceGetAttribute
28.150ms     417ns  cuDeviceGetAttribute
28.151ms     416ns  cuDeviceGetAttribute
28.152ms     417ns  cuDeviceGetAttribute
28.153ms     469ns  cuDeviceGetAttribute
28.153ms     416ns  cuDeviceGetAttribute
28.154ms     469ns  cuDeviceGetAttribute
28.155ms     417ns  cuDeviceGetAttribute
28.156ms     468ns  cuDeviceGetAttribute
28.157ms     469ns  cuDeviceGetAttribute
28.158ms     469ns  cuDeviceGetAttribute
28.159ms     417ns  cuDeviceGetAttribute
28.159ms     417ns  cuDeviceGetAttribute
28.160ms     468ns  cuDeviceGetAttribute
28.161ms     469ns  cuDeviceGetAttribute
28.162ms  14.375us  cuDeviceGetAttribute
28.177ms     520ns  cuDeviceGetAttribute
28.178ms     469ns  cuDeviceGetAttribute
28.179ms     468ns  cuDeviceGetAttribute
28.180ms     469ns  cuDeviceGetAttribute
28.181ms     416ns  cuDeviceGetAttribute
28.182ms     469ns  cuDeviceGetAttribute
28.183ms     469ns  cuDeviceGetAttribute
28.184ms     417ns  cuDeviceGetAttribute
28.184ms     469ns  cuDeviceGetAttribute
28.185ms     416ns  cuDeviceGetAttribute
28.186ms     417ns  cuDeviceGetAttribute
28.187ms     938ns  cuDeviceGetAttribute
28.188ms     469ns  cuDeviceGetAttribute
28.189ms     417ns  cuDeviceGetAttribute
28.190ms     417ns  cuDeviceGetAttribute
28.191ms     416ns  cuDeviceGetAttribute
28.192ms     417ns  cuDeviceGetAttribute
28.193ms     417ns  cuDeviceGetAttribute
28.193ms     416ns  cuDeviceGetAttribute
28.194ms  6.5630us  cuDeviceGetAttribute
28.202ms     469ns  cuDeviceGetAttribute
28.203ms     521ns  cuDeviceGetAttribute
28.204ms     417ns  cuDeviceGetAttribute
28.204ms     469ns  cuDeviceGetAttribute
28.205ms     468ns  cuDeviceGetAttribute
28.206ms     469ns  cuDeviceGetAttribute
28.207ms     573ns  cuDeviceGetAttribute
28.208ms  12.865us  cuDeviceGetAttribute
28.222ms     521ns  cuDeviceGetAttribute
28.223ms     417ns  cuDeviceGetAttribute
28.223ms     521ns  cuDeviceGetAttribute
28.235ms  23.646us  cudaGetDevice
28.260ms  26.094us  cudaGetDeviceProperties
391.08ms  160.43ms  cudaMalloc
551.51ms  485.89us  cudaMalloc
552.00ms  504.12us  cudaMalloc
552.51ms  19.506ms  cudaMemcpy
572.02ms  36.263ms  cudaMemcpy
608.30ms  24.948us  cudaEventCreate
608.32ms  3.4900us  cudaEventCreate
608.33ms  40.573us  cudaEventRecord
608.37ms  5.1040us  cudaConfigureCall
608.38ms  1.3030us  cudaSetupArgument
608.38ms     573ns  cudaSetupArgument
608.38ms  1.5620us  cudaSetupArgument
608.38ms     625ns  cudaSetupArgument
608.38ms     521ns  cudaSetupArgument
608.39ms  96.250us  cudaLaunch (void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [116])
608.48ms  21.979us  cudaEventRecord
608.51ms  2.66123s  cudaEventSynchronize
3.26974s  11.406us  cudaEventElapsedTime
3.26978s  92.922ms  cudaMemcpy
4.25122s  92.239us  cudaFree
4.25131s  25.677us  cudaFree
4.25134s  27.187us  cudaFree
